,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years,IRR
120,2010-07-30,5367.6,20.3552,3.0271598454439737,0.010371764705882525,23621710.24930806,292997.100144738,25621710.24930806,34271598.45443974,32.792390325127975
121,2010-08-31,5402.4,20.452,2.8751882935227027,0.006483344511513334,23724857.93480547,203147.68549740966,25824857.93480547,32751882.935227025,31.412759845726267
122,2010-09-30,6029.95,20.8381,3.741831478787402,0.11616133570265075,26430769.121868107,2805911.1870626356,28630769.121868107,41418314.78787402,38.71192782521567
123,2010-10-29,6017.7,20.6564,4.13127264975485,-0.0020315259662185836,26327074.328089904,-3694.7937782034132,28627074.328089904,45312726.4975485,41.61207415115133
124,2010-11-30,5862.7,20.1303,3.623033552813153,-0.025757349153331055,25598958.682435594,-628115.6456543102,27998958.682435594,40230335.52813153,37.78553387477726
125,2010-12-31,6134.5,19.9627,3.854972102409877,0.046360891739301024,26735749.23455083,1236790.5521152366,29235749.23455083,42549721.02409877,39.575380529732264
126,2011-01-31,5505.9,17.9149,3.013924327476853,-0.10246963892737804,23946146.664033484,-2689602.570517347,26546146.664033484,34139243.27476853,32.67412921112638
127,2011-02-28,5333.25,17.2906,2.9464629273346157,-0.03135727129079713,23145260.84672017,-700885.8173133146,25845260.84672017,33464629.273346156,32.0658085331766
128,2011-03-31,5833.75,18.0537,4.080778609998258,0.09384521633150511,25267332.85792974,2222072.0112095694,28067332.85792974,44807786.099982575,41.24714647866479
129,2011-04-29,5749.5,17.8024,4.109531215285492,-0.014441825583886847,24852426.443825506,-314906.4141042345,27752426.443825506,45095312.15285492,41.45533138992701
130,2011-05-31,5560.15,17.1863,3.760810000856237,-0.032933298547699885,23983954.06411625,-768472.3797092567,26983954.06411625,41608100.00856237,38.85802269220044
131,2011-06-30,5647.4,16.5074,4.097391461323223,0.01569202269722947,24310310.815659672,426356.7515434212,27410310.815659672,44973914.61323223,41.3675577835346
132,2011-07-29,5482.0,16.0241,4.109754392505943,-0.029287813861245793,23548314.957581602,-661995.8580780708,26748314.957581602,45097543.92505943,41.45694331631182
133,2011-08-30,5001.0,14.6312,3.7459074733096083,-0.08774170010944915,21432145.76849062,-2016169.1890909807,24732145.76849062,41459074.733096085,38.74334782932161
134,2011-09-30,4943.25,14.8083,4.409257536794879,-0.011547690461907623,21134653.983221605,-197491.78526901294,24534653.983221605,48092575.36794879,43.56688297886415
135,2011-10-31,5326.6,15.9898,4.480605000514457,0.07755019470995816,22723650.514748033,1688996.5315264284,26223650.514748033,48806050.00514457,44.054529644916606
136,2011-11-30,4832.05,14.5114,3.5279951272079835,-0.09284534224458385,20563865.405659936,-2059785.109088095,24163865.405659936,39279951.27207983,37.02913460754629
137,2011-12-30,4624.3,13.8885,3.366460507058213,-0.04299417431524921,19629738.99181367,-834126.4138462662,23329738.99181367,37664605.07058213,35.710537409441145
138,2012-01-31,5199.25,15.5019,3.8121153223194035,0.12433233137988453,22020350.20504449,2490611.2132308176,25820350.20504449,42121153.22319403,39.25041473898438
139,2012-02-29,5385.2,16.0588,3.715380237292588,0.035764773765446956,22757903.04836382,837552.8433193297,26657903.04836382,41153802.37292588,38.507446658153796
140,2012-03-30,5295.55,15.7656,3.688194413704573,-0.01664747827378732,22329041.351809226,-328861.6965545949,26329041.351809226,40881944.13704573,38.29622988262271
141,2012-04-30,5248.15,15.0182,3.839234670355002,-0.008950911614468815,22079176.07623336,-149865.27557586366,26179176.07623336,42392346.70355002,39.45634385631691
142,2012-05-31,4924.25,14.0931,3.786401632970451,-0.061716985985537653,20666515.875764247,-1312660.2004691125,24866515.875764247,41864016.32970451,39.054214652790485
143,2012-06-29,5278.9,15.105,3.9904518812629988,0.0720211199675076,22104941.494963065,1538425.619198817,26404941.494963065,43904518.81262999,40.58636941565952
144,2012-07-31,5229.0,15.254,4.453123370528731,-0.009452726893860341,21845989.52000642,-158951.9749566468,26245989.52000642,48531233.70528731,43.86735168127765
145,2012-08-31,5258.5,15.344899999999999,4.20334454779339,0.005641614075349022,21919236.161972415,173246.64196599543,26419236.161972415,46033445.4779339,42.12756367106812
146,2012-09-28,5703.3,16.9329,4.921507553340602,0.084586859370543,23723315.508714896,1904079.3467424812,28323315.508714896,53215075.53340602,46.95205503327675
147,2012-10-31,5619.7,15.6134,4.906768972041203,-0.01465818035172628,23325574.871447247,-297740.637267648,28025574.871447247,53067689.72041202,46.85823927425354
148,2012-11-30,5879.85,16.2646,4.599057277531781,0.04629250671744045,24355374.202871878,1129799.3314246319,29155374.202871878,49990572.77531781,44.85214643687545
149,2012-12-31,5905.1,16.1269,4.400182898948332,0.004294327236239015,24409964.149660062,154589.9467881858,29309964.149660062,48001828.98948332,43.50446109711916
150,2013-01-31,6034.75,16.4819,4.7923405480635415,0.02195559770367983,24895899.502491247,585935.3528311835,29895899.502491247,51923405.48063541,46.122958560942436
151,2013-02-28,5693.05,15.5349,4.353629866466052,-0.056622063880028106,23436242.290510427,-1359657.2119808192,28536242.290510427,47536298.66466052,43.182799962311734
152,2013-03-28,5682.55,15.4675,4.809190349621754,-0.001844354080852928,23343017.561402068,6775.27089163912,28543017.561402068,52091903.49621754,46.23200815463675
153,2013-04-30,5930.2,16.5487,5.348910657887694,0.04358078679466071,24310324.63288955,1067307.0714874843,29610324.63288955,57489106.578876935,49.58947521599231
154,2013-05-31,5985.95,16.6683,4.945520460866111,0.009401032005665888,24488866.772831473,278542.1399419225,29888866.772831473,53455204.60866111,47.10447733924834
155,2013-06-28,5842.2,16.2723,4.1511704800952245,-0.02401456744543473,23850777.230053045,-538089.542778427,29350777.230053045,45511704.80095225,41.75501909495149
156,2013-07-31,5742.0,15.4658,3.8420963865581657,-0.01715107322583953,23391710.80328722,-359066.4267658259,28991710.80328722,42420963.865581654,39.478014921808004
157,2013-08-30,5471.8,14.7407,3.0336146843094616,-0.047056774642981525,22240972.339503136,-1050738.463784083,27940972.339503136,34336146.84309462,32.849937677287386
158,2013-09-30,5735.3,15.3478,3.0472090889845465,0.04815599985379593,23262008.600232527,1121036.2607293923,29062008.600232527,34472090.88984546,32.970865141969895
159,2013-10-31,6299.15,16.7765,3.048557105212417,0.098312206859275,25498948.001700822,2336939.401468294,31398948.001700822,34485571.05212417,32.98283624931941
160,2013-11-29,6176.1,16.4574,2.8236186348862407,-0.01953438162291732,24950841.820452675,-448106.18124814885,30950841.820452675,32236186.348862406,30.933402200631388
161,2013-12-31,6304.0,16.1964,2.353637451788802,0.020708861579313842,25417545.349999785,566703.5295471095,31517545.349999785,27536374.51788802,26.26770145128532
162,2014-01-31,6089.5,15.6296,2.3648293963254594,-0.03402601522842641,24502687.564851474,-814857.7851483115,30702687.564851474,27648293.963254593,26.385686911514394
163,2014-02-28,6276.95,16.041,2.486613342220741,0.030782494457673115,25206941.40901461,804253.8441631364,31506941.40901461,28866133.422207408,27.64634861214892
164,2014-03-31,6704.2,16.4484,2.7836221005700095,0.06806649726379854,26872689.61746003,1765748.208445423,33272689.61746003,31836221.005700096,30.5575396990047
165,2014-04-30,6696.4,16.4299,2.728300206001893,-0.0011634497777512909,26791424.592697017,18734.975236986706,33291424.592697017,31283002.060018927,30.031621779456398
166,2014-05-30,7229.95,17.7059,3.873247506066325,0.07967713995579717,28876088.67958452,2184664.0868875063,35476088.679584526,42732475.06066325,39.71318968920876
167,2014-06-30,7611.35,18.0903,4.055359989373008,0.05275278528897154,30349382.785683945,1573294.106099424,37049382.78568395,44553599.893730074,41.062243373500216
168,2014-07-31,7721.3,18.3521,3.7303191815230043,0.014445532001550188,30737795.76594184,488412.9802578938,37537795.76594184,41303191.81523004,38.623055985609646
169,2014-08-28,7954.35,18.7958,3.8747357131913596,0.03018274124823539,31615546.702086367,977750.9361445279,38515546.702086374,42747357.131913595,39.72439180932845
170,2014-09-30,7964.8,18.3308,3.563047837295904,0.0013137465663441983,31607081.518009327,91534.81592296061,38607081.518009335,39630478.37295904,37.309738012298375
171,2014-10-31,8322.2,19.2168,3.6573395265543684,0.0448724387304138,32975368.346873395,1468286.828864068,40075368.3468734,40573395.265543684,38.05519285380969
172,2014-11-28,8588.25,19.8384,3.3844445578925875,0.0319687101968229,33979548.34118808,1104179.9943146827,41179548.34118809,37844445.57892588,35.85946898373618
173,2014-12-31,8282.7,19.3627,2.98111031002163,-0.03557767880534446,32720634.884354617,-1158913.4568334646,40020634.88435462,33811103.1002163,32.37940201655698
174,2015-01-30,8808.9,20.6181,3.2811527993779164,0.06353000833061673,34749377.09114073,2128742.206786117,42149377.09114074,36811527.99377917,34.996527204821874
175,2015-02-28,8901.85,20.815,3.232426007369547,0.01055182826459622,35066046.55050814,416669.45936741115,42566046.55050815,36324260.073695466,34.5829596207744
176,2015-03-31,8491.0,22.3897,3.171149264362734,-0.04615332767907798,33397631.81365274,-1568414.7368554045,40997631.81365275,35711492.643627346,34.05676861166987
177,2015-04-30,8181.5,21.6268,3.300394218134034,-0.03645035920386286,32130276.137486737,-1167355.676166,39830276.13748675,37003942.18134034,35.158678215981574
178,2015-05-29,8433.65,22.5688,3.0399750904169958,0.03081953187068387,33070516.206919882,1040240.0694331459,40870516.20691989,34399750.90416996,32.90656172839421
179,2015-06-30,8368.5,21.6067,2.768576060524183,-0.007725006373278442,32765046.25845382,-205469.94846606412,40665046.25845383,31685760.605241828,30.41520532777804
180,2015-07-31,8532.85,22.0366,2.690200233533711,0.019639122901356387,33358523.02879222,693476.7703384018,41358523.02879223,30902002.33533711,29.665246182281813
181,2015-08-31,7971.3,20.5994,2.3427547019478747,-0.06581036816538444,31113186.34681395,-2145336.6819782713,39213186.34681396,27427547.019478746,26.152621020575385
182,2015-09-30,7948.9,20.2027,2.055623894825863,-0.0028100811661837533,30975755.767840803,-37430.57897314738,39175755.76784082,24556238.94825863,22.98101869213225
183,2015-10-30,8065.8,20.5002,2.4019274974166476,0.014706437368692482,31381298.779988468,505543.01214766566,39681298.77998848,28019274.974166475,26.77416455812647
184,2015-11-30,7935.25,20.1659,1.9918936751814496,-0.016185623248778813,30823372.900878213,-457925.87911025557,39223372.90087823,23918936.751814496,22.23864819010619
185,2015-12-31,7946.35,20.7102,1.8014136891646544,0.0013988217132416825,30816489.304167308,93116.40328909371,39316489.30416732,22014136.891646545,19.92506816729611
186,2016-01-29,7563.55,19.7129,1.5202592382792979,-0.04817306058756543,29281964.697821595,-1434524.6063457138,37881964.69782161,19202592.38279298,16.21067391072284
187,2016-02-29,6987.05,18.2043,1.2724330829023973,-0.07622082223294613,27000069.27195753,-2181895.4258640637,35700069.27195755,16724330.829023974,12.571369660406706
188,2016-03-31,7738.4,20.5684,1.2742942792905319,0.10753465339449408,29853512.362744816,2953443.0907872836,38653512.36274483,16742942.792905318,12.600203412462019
189,2016-04-29,7849.8,19.4514,1.2064875196761862,0.014395740721596217,30233275.78634786,479763.4236030416,39133275.78634787,16064875.196761861,11.533418386232519
190,2016-05-31,8160.1,20.2354,1.65710424773286,0.03952966954572101,31378387.187466837,1245111.4011189796,40378387.18746685,20571042.4773286,18.067380774443052
191,2016-06-30,8287.75,20.6849,1.649367048142702,0.015643190647173455,31819245.280441206,540858.0929743686,40919245.280441225,20493670.48142702,17.96498011947707
192,2016-07-29,8638.5,21.5603,1.7483138203105115,0.04232149859732748,33115883.424945418,1396638.1445042114,42315883.42494544,21483138.203105114,19.252729051071693
193,2016-08-31,8786.2,21.9577,1.573654764345763,0.017097875788620875,33632094.68637558,616211.2614301656,42932094.6863756,19736547.64345763,16.94689712001194
194,2016-09-30,8611.15,22.0019,1.3997185375097536,-0.01992328879379035,32912032.751198817,-620061.9351767626,42312032.75119884,17997185.375097536,14.488806609327254
195,2016-10-30,8625.7,22.039,1.3038113298255927,0.0016896697885881995,32917643.218619544,105610.467420726,42417643.21861957,17038113.298255928,13.054217928856238
196,2016-11-30,8224.5,21.0207,1.0797825262359337,-0.046512167128465065,31336572.295759927,-1481070.9228596168,40936572.29575995,14797825.262359338,9.443384129452381
197,2016-12-30,8185.8,20.9218,1.0637858007260994,-0.004705453219040701,31139119.520777144,-97452.7749827852,40839119.520777166,14637858.007260995,9.169823807533216
198,2017-01-31,8561.3,21.4793,1.0969701423077862,0.0458721200127048,32517536.948524192,1478417.4277470477,42317536.948524214,14969701.423077863,9.734784732256351
199,2017-02-28,8879.6,22.2696,1.3708648172376043,0.03717893310595377,33676504.279503755,1258967.330979561,43576504.27950378,17708648.172376044,14.063528581608974
200,2017-03-31,9173.75,21.714,1.4005311980740798,0.03312649218433261,34742088.73531438,1165584.4558106249,44742088.7353144,18005311.9807408,14.500708277865716
201,2017-04-28,9304.05,22.0217,1.2759974559064555,0.014203569968660457,35185550.42352383,543461.688209448,45285550.42352384,16759974.559064556,12.626567502992202
202,2017-05-31,9621.25,22.6251,1.2396876018436611,0.03409268006943211,36335120.137179896,1249569.7136560695,46535120.13717991,16396876.01843661,12.059988535702137
203,2017-06-30,9520.9,22.3883,1.2047796586619732,-0.010430037677017112,35906143.46515017,-328976.6720297295,46206143.465150185,16047796.586619733,11.50610511984167
204,2017-07-31,10077.1,23.6962,1.2250902547004205,0.058418846957745574,37953738.96508364,2147595.499933464,48353738.96508365,16250902.547004206,11.829487750143052
205,2017-08-31,9917.9,23.3218,1.2217517921146954,-0.01579819590953757,37304138.36141379,-549600.6036698411,47804138.36141381,16217517.921146953,11.776547656261037
206,2017-09-29,9788.6,22.7346,0.9493960787437641,-0.013037034049546703,36767803.03940704,-436335.32200675295,47367803.03940705,13493960.78743764,7.1434716759653405
207,2017-10-31,10335.3,23.5665,0.7515527950310559,0.05585068344809252,38771309.968042776,2103506.9286357365,49471309.96804279,11515527.950310558,3.3025706232105767
208,2017-11-30,10226.55,23.3186,0.7745954622359115,-0.010522190937853781,38313350.84164832,-357959.1263944597,49113350.84164833,11745954.622359116,3.7749135082504326
209,2017-12-29,10530.7,23.8994,0.7154888736845535,0.029741212823484187,39402836.3630106,1189485.5213622795,50302836.363010615,11154888.736845534,2.548491458792812
210,2018-01-31,11027.7,23.8705,1.146531839725934,0.0471953431395824,41212466.7458357,1909630.3828251003,52212466.745835714,15465318.397259342,10.56088085123783
211,2018-02-28,10492.85,22.7386,1.008777639513736,-0.04850059395884909,39163637.63015335,-1948829.115682348,50263637.630153365,14087776.39513736,8.211206843485662
212,2018-03-28,10113.7,21.9169,1.136170662160735,-0.03613412943099348,37698493.67903686,-1365143.9511164878,48898493.67903688,15361706.62160735,10.389883160037016
213,2018-04-30,10739.35,22.491,1.078892351768327,0.06186163323017291,39980584.06833943,2382090.38930257,51280584.068339445,14788923.517683271,9.428221203513122
214,2018-05-31,10736.15,22.4842,1.2045029876183238,-0.0002979696164107093,39918671.06904071,38087.000701280784,51318671.06904072,16045029.876183238,11.501678304041363
215,2018-06-29,10714.3,22.4226,1.651693457573845,-0.002035180208920351,39787429.37971459,-31241.68932611303,51287429.37971461,20516934.57573845,17.995801034712898
216,2018-07-31,11356.5,23.9453,1.6209626236167045,0.059938586748551126,42122231.667092465,2434802.287377875,53722231.66709248,20209626.236167043,17.586481258529396
217,2018-08-31,11680.5,24.6285,1.67901376146789,0.028529916787742637,43273975.43146863,1251743.7643761658,54973975.43146864,20790137.6146789,18.355750269861915
218,2018-09-28,10930.45,22.5643,1.7875267775170869,-0.0642138607080176,40445186.40083013,-2728789.0306385024,52245186.40083014,21875267.77517087,19.750451087690713
219,2018-10-31,10386.6,21.2753,2.5994593845300806,-0.04975549954484948,38382815.94727227,-1962370.4535578557,50282815.947272286,29994593.845300805,28.778453909426904
220,2018-11-30,10876.75,22.2626,2.947860331748394,0.047190610979531256,40144124.482938945,1861308.5356666741,52144124.48293896,33478603.31748394,32.078504693284195
221,2018-12-31,10862.55,23.8693,2.670834530186033,-0.001305537040016569,40041714.84148743,-2409.6414515127835,52141714.841487445,30708345.30186033,29.47768799335748
222,2019-01-31,10830.95,23.7999,2.7675490468902186,-0.002909077518630343,39875230.38903465,-66484.45245277803,52075230.389034666,31675490.468902186,30.405470905676758
223,2019-02-28,10792.5,23.7154,2.9051616521629002,-0.0035500117718206825,39683672.85174952,-91557.53728513484,51983672.85174953,33051616.521629002,31.688708464645376
224,2019-03-29,11623.9,25.8509,2.8477631208725733,0.07703497799397718,42690703.71660423,3107030.864854714,55090703.71660425,32477631.20872573,31.1585627230744
225,2019-04-30,11748.15,25.7389,2.3817844240705823,0.010689183492631482,43097032.48206058,506328.76545634744,55597032.4820606,27817844.24070582,26.563728403467767
226,2019-05-31,11922.8,26.1215,1.6799132379550232,0.014866170418321056,43687720.31146281,690687.8294022307,56287720.31146283,20799132.379550233,18.367538950415607
227,2019-06-28,11788.85,25.4648,1.747279252406143,-0.011234777065789792,43146898.513250954,-440821.7982118612,55846898.51325097,21472792.52406143,19.239503133771695
228,2019-07-31,11118.0,23.6526,1.3979553322045963,-0.056905465757898344,40641604.15734564,-2405294.3559053172,53441604.15734565,17979553.322045963,14.46296968394558
229,2019-08-30,11023.25,23.451,1.3644387722271079,-0.00852221622593996,40245247.61894768,-296356.53839795996,53145247.61894769,17644387.722271077,13.9680890589031
230,2019-09-30,11474.45,24.2969,1.2569950530591374,0.04093166715805241,41842552.69917984,1697305.0802321676,54842552.69917986,16569950.530591374,12.331245768931186
231,2019-10-31,11877.45,25.3647,1.520841734405841,0.03512150909193901,43262126.29423402,1519573.595054182,56362126.29423404,19208417.34405841,16.218789950936817
232,2019-11-29,12056.05,25.7093,1.3955431478133011,0.015036897650589909,43862654.459467314,700528.1652332915,57062654.45946733,17955431.47813301,14.427591407462103
233,2019-12-31,12168.45,25.3833,1.3396141163803463,0.009323119927339585,44221591.247324385,458936.7878570702,57521591.2473244,17396141.163803466,13.596861229626622
234,2020-01-31,11962.1,25.272100000000002,1.4502207064655215,-0.016957788378963667,43421690.86117122,-699900.3861531588,56821690.86117124,18502207.064655215,15.22069573125533
235,2020-02-28,11201.75,23.5587,1.2757146049610952,-0.06356325394370554,40611666.89829752,-2710023.9628737047,54111666.89829753,16757146.049610952,12.622190578774518
236,2020-03-31,8597.75,19.5069,0.6379474576594082,-0.23246367755038277,31120929.45966813,-9390737.438629389,44720929.459668145,10379474.57659408,0.8612895464618298
237,2020-04-30,9859.9,22.3706,0.8681129215611973,0.14680003489284976,35639482.99024533,4618553.530577198,49339482.99024534,12681129.215611974,5.621660463822331
238,2020-05-29,9580.3,21.7074,0.8835499282386015,-0.0283572855708476,34578843.99349357,-960638.9967517523,48378843.99349359,12835499.282386014,5.916339269491
239,2020-06-30,10302.1,26.7436,0.9392188235294119,0.07534210828470944,37134087.00201144,2655243.0085178674,51034087.002011456,13392188.235294119,6.956860753986094
240,2020-07-31,11073.45,28.1737,1.0630169908338925,0.0748730841284786,39864430.622147284,2830343.620135846,53864430.6221473,14630169.908338925,9.156618529845172
241,2020-08-31,11387.5,28.9959,1.1078594698652453,0.028360628349791472,40945010.92339805,1180580.3012507656,55045010.92339806,15078594.698652454,9.918073376604575
242,2020-09-30,11247.55,27.9579,0.8652808066401876,-0.012289791437980258,40391805.278723665,-453205.64467438543,54591805.27872368,12652808.066401877,5.56729848582882
243,2020-10-30,11642.4,28.9394,0.9346926566628446,0.03510542295877772,41759776.68710185,1467971.4083781848,56059776.68710186,13346926.566628447,6.873517774654414
244,2020-11-27,12968.95,32.2368,1.212112166749109,0.1139412835841409,46467939.24501732,4808162.557915468,60867939.245017335,16121121.66749109,11.623213812919886
245,2020-12-31,13981.75,33.2749,1.279199608770071,0.07809421734219035,50046816.5918614,3678877.3468440794,64546816.59186141,16791996.08770071,12.676079008691033
246,2021-01-29,13634.6,32.4338,1.47636172106286,-0.024828794678777633,48754214.458375625,-1192602.1334857685,63354214.45837564,18763617.2106286,15.593513569244855
247,2021-02-26,14529.15,34.5618,1.7242581915342425,0.06560881874055702,51902920.87761343,3248706.4192378107,66602920.87761345,21242581.915342424,18.943924982966177
248,2021-03-31,14690.7,31.6548,1.5182258410113563,0.01111902623346861,52430030.81644526,627109.9388318293,67230030.81644528,19182258.410113562,16.18232729928033
249,2021-04-30,14631.1,31.514,1.5447604139490392,-0.0040569884348601315,52167322.787783585,-162708.02866167872,67067322.7877836,19447604.139490392,16.55042966671758
250,2021-05-17,14808.9,31.6145,1.6633993687220672,0.012152196348873323,52751270.337295786,683947.5495121998,67751270.3372958,20633993.68722067,18.150477233446406
