,Date,Nifty Value,PE Ratio,10_years_%_Change,monthly_%_Change,Inflow_Rate,Residual_Corpus_monthly,Monthly_Netflow,Cummulative_Inflow,Residual_Corpus_10_years
0,2000-07-31,1332.85,17.2324,,,3.0,,,,
1,2000-08-31,1394.1,18.5937,,0.04595415838241368,6.0,10409541.583824137,509541.5838241368,509541.5838241368,
2,2000-09-29,1271.65,16.9605,,-0.08783444516175298,3.0,9470225.27442075,-889316.3094033885,-379774.7255792517,
3,2000-10-31,1172.75,15.5767,,-0.07777297212283263,3.0,8708697.70815628,-711527.5662644699,-1091302.2918437216,
4,2000-11-30,1268.15,17.6839,,0.08134726071200182,3.0,9392126.411083682,733428.7029274016,-357873.58891632,
5,2000-12-29,1263.55,17.6198,,-0.003627331151677793,3.0,9333058.058372261,-9068.352711419582,-366941.9416277396,
6,2001-01-31,1371.7,18.9052,,0.08559218076055575,6.0,10081894.850753222,848836.79238096,481894.8507532204,
7,2001-02-28,1351.4,18.6255,,-0.014799154334038,6.0,9882691.332877383,-99203.51787583993,382691.3328773804,
8,2001-03-30,1148.2,16.4935,,-0.15036258694687,3.0,8371704.298068529,-1460987.0348088539,-1078295.7019314733,
9,2001-04-30,1125.25,15.3059,,-0.019987807002264435,3.0,8179372.288278707,-142332.0097898214,-1220627.7117212948,
10,2001-05-31,1167.9,15.8861,,0.037902688291490794,3.0,8464392.486541392,335020.1982626856,-885607.5134586091,
11,2001-06-29,1107.9,15.0699,,-0.051374261494991025,3.0,8004540.573541578,-409851.9129998148,-1295459.426458424,
12,2001-07-31,1072.85,14.5501,,-0.03163642928062116,3.0,7726305.491762867,-228235.08177871085,-1523694.508237135,
13,2001-08-31,1053.75,14.2911,,-0.01780304795637777,3.0,7563753.704567388,-112551.78719547926,-1636246.2954326142,
14,2001-09-28,913.85,12.3938,,-0.13276393831553968,3.0,6534559.974300268,-979193.7302671194,-2615440.0256997338,
15,2001-10-31,971.9,13.3589,,0.06352245992230676,3.0,6924651.298377667,440091.3240773987,-2175348.7016223352,
16,2001-11-29,1067.15,14.6682,,0.09800390986727048,3.0,7578294.200086149,703642.9017084823,-1471705.799913853,
17,2001-12-31,1059.05,14.441,,-0.007590310640491205,3.0,7495772.592982463,-32521.607103686685,-1504227.4070175397,
18,2002-01-31,1080.45,16.7436,,0.02020678910344187,3.0,7622238.088936219,176465.49595375624,-1327761.9110637836,
19,2002-02-28,1142.05,17.5395,,0.05701328150307727,3.0,8031806.894784218,459568.8058479984,-868193.1052157851,
20,2002-03-28,1129.55,17.4049,,-0.010945230068736045,3.0,7918896.920453144,-62909.974331073696,-931103.0795468588,
21,2002-04-30,1084.5,15.5275,,-0.03988313930326237,3.0,7578066.451446536,-290830.4690066082,-1221933.548553467,
22,2002-05-31,1028.8,13.9771,,-0.05136007376671281,3.0,7163856.39949119,-364210.05195534567,-1586143.6005088128,
23,2002-06-28,1057.8,14.3708,,0.028188180404354668,3.0,7340792.476070939,226936.07657974836,-1359207.5239290644,
24,2002-07-31,958.9,12.645199999999999,,-0.0934959349593496,3.0,6629458.220178127,-661334.2558928115,-2020541.779821876,
25,2002-08-30,1010.6,13.3376,,0.05391594535405164,3.0,6961891.727304219,382433.5071260924,-1638108.2726957835,
26,2002-09-30,963.15,12.213,,-0.0469523055610529,3.0,6610014.859640866,-301876.8676633541,-1939985.1403591377,
27,2002-10-31,951.4,11.8034,,-0.012199553548253084,3.0,6504375.629405928,-55639.230234937335,-1995624.370594075,
28,2002-11-29,1050.15,13.0285,,0.1037944082404878,3.0,7154493.448833967,700117.8194280387,-1295506.5511660362,
29,2002-12-31,1093.5,12.6738,,0.04127981716897566,3.0,7424829.630338467,320336.1815045003,-975170.3696615358,
30,2003-01-31,1041.85,12.0752,,-0.04723365340649299,3.0,7049127.8009768,-325701.82936166663,-1300872.1990232025,
31,2003-02-28,1063.4,12.325,,0.020684359552718856,3.0,7169934.49494527,170806.69396847053,-1130065.505054732,
32,2003-03-31,978.2,10.6782,,-0.08012036862892613,3.0,6570476.700165002,-549457.7947802683,-1679523.2998350004,
33,2003-04-30,934.05,10.1962,,-0.04513391944387657,3.0,6248925.334071887,-271551.3660931151,-1951074.6659281156,
34,2003-05-30,1006.8,10.2758,,0.07788662277180025,3.0,6710633.02429589,511707.69022400293,-1439366.9757041126,
35,2003-06-30,1134.15,10.9625,,0.12648986889153768,3.0,7534460.1157182995,873827.0914224101,-565539.8842817025,
36,2003-07-31,1185.85,11.4623,,0.045584799188819636,3.0,7852916.967089489,368456.85137118946,-197083.032910513,
37,2003-08-29,1356.55,13.2405,,0.14394737951680225,3.0,8958323.786065055,1155406.8189755664,958323.7860650534,
38,2003-09-30,1417.1,12.9077,,0.04463528804688366,3.0,9333181.148673318,424857.3626082631,1383181.1486733165,
39,2003-10-31,1555.9,14.1719,,0.09794651047914771,3.0,10222333.673855633,939152.525182315,2322333.6738556316,
40,2003-11-28,1615.25,14.7125,,0.0381451250080338,3.0,10587265.86971869,414932.1958630565,2737265.869718688,
41,2003-12-31,1879.75,15.7889,,0.1637517412165299,3.0,12295949.090607464,1758683.2208887744,4495949.090607462,
42,2004-01-30,1809.75,15.2009,,-0.037238994547147186,3.0,11813060.309470333,-432888.78113713075,4063060.3094703318,
43,2004-02-27,1800.3,15.1216,,-0.005221715706589358,3.0,11726375.866909485,-36684.44256084858,4026375.866909483,
44,2004-03-31,1771.9,14.4666,,-0.015775148586346655,3.0,11516390.545229638,-159985.3216798467,3866390.545229636,
45,2004-04-30,1796.1,14.5312,,0.013657655623906528,3.0,11648677.441326797,182286.89609715954,4048677.4413267956,
46,2004-05-31,1483.6,11.8468,,-0.17398808529591892,3.0,9596946.357080584,-2001731.0842462133,2046946.3570805823,
47,2004-06-30,1505.6,11.3871,,0.014828794823402491,3.0,9714257.505540932,167311.14846034796,2214257.50554093,
48,2004-07-30,1632.3,12.3467,,0.08415249734325192,3.0,10506736.53446763,842479.0289266983,3056736.534467628,
49,2004-08-31,1631.75,12.3425,,-0.00033694786497573403,3.0,10478196.312024478,21459.77755684859,3078196.312024477,
50,2004-09-30,1745.5,12.3372,,0.06971043358357587,3.0,11183635.920109529,755439.608085052,3833635.920109529,
51,2004-10-29,1786.9,12.6299,,0.023718132340303733,3.0,11423890.87690846,290254.9567989323,4123890.8769084616,
52,2004-11-30,1958.8,13.844899999999999,,0.09620012311824944,3.0,12497870.585756501,1123979.7088480403,5247870.585756502,
53,2004-12-31,2080.5,13.615,,0.06212987543393922,3.0,13249361.728439046,801491.1426825444,6049361.728439046,
54,2005-01-31,2057.6,13.4651,,-0.01100696947849078,3.0,13078526.408284634,-120835.32015441242,5928526.408284633,
55,2005-02-28,2103.25,13.7488,,0.02218604199066876,3.0,13343687.144354908,315160.73607027315,6243687.144354907,
56,2005-03-31,2035.65,12.7072,,-0.0321407345774396,3.0,12889811.237563804,-403875.90679110406,5839811.237563803,
57,2005-04-29,1902.5,11.8761,,-0.06540908309385218,3.0,12021700.503261924,-818110.7343018805,5021700.503261922,
58,2005-05-31,2087.55,13.0312,,0.09726675427069664,3.0,13166012.292028612,1194311.7887666877,6216012.29202861,
59,2005-06-30,2220.6,13.4979,,0.06373500035927271,3.0,13980148.090191243,864135.7981626325,7080148.090191242,
60,2005-07-29,2312.3,14.0725,,0.04129514545618318,3.0,14532460.339074671,602312.2488834289,7682460.339074671,
61,2005-08-31,2384.65,14.5194,,0.03128919257881768,3.0,14962169.28926801,479708.9501933375,8162169.289268008,
62,2005-09-30,2601.4,15.4978,,0.09089384186358584,3.0,16297138.338582937,1384969.049314927,9547138.338582935,
63,2005-10-31,2370.95,14.1249,,-0.088586914738218,3.0,14828425.134105947,-1418713.2044769905,8128425.134105944,
64,2005-11-30,2652.25,15.7931,,0.11864442523039287,3.0,16562735.111213857,1784309.9771079114,9912735.111213855,
65,2005-12-30,2836.55,16.892,,0.06948817042134037,3.0,17688649.271265402,1175914.1600515463,11088649.271265402,
66,2006-01-31,3001.1,17.6126,,0.05801061148225828,3.0,18689778.63178671,1051129.3605213081,12139778.631786712,
67,2006-02-28,3074.7,18.0356,,0.02452434107493917,6.0,19098133.13756776,508354.5057810473,12648133.137567759,
68,2006-03-31,3402.55,18.9885,,0.10662828893875842,6.0,21084534.39595121,2086401.258383452,14734534.395951211,
69,2006-04-29,3557.6,19.81,,0.045568764603018286,6.0,21995330.580604553,1010796.184653343,15745330.580604555,
70,2006-05-31,3071.05,17.1258,,-0.13676354845963568,3.0,18962171.120858338,-2983159.4597462174,12762171.120858338,
71,2006-06-30,3128.2,17.0439,,0.018609270444961634,3.0,19290043.291470032,377872.1706116941,13140043.291470032,
72,2006-07-31,3143.2,17.1004,,0.004795089828016019,3.0,19357540.78183895,117497.49036891661,13257540.781838948,
73,2006-08-31,3413.9,18.5767,,0.08612242300839923,6.0,20974659.097454824,1717118.315615873,14974659.097454822,
74,2006-09-29,3588.4,19.4549,,0.051114561059199204,6.0,21996769.590587568,1122110.4931327426,16096769.590587564,
75,2006-10-31,3744.1,18.6672,,0.0433898116152045,6.0,22901205.27926622,1004435.6886786536,17101205.279266216,
76,2006-11-30,3954.5,19.6565,,0.05619508025960851,6.0,24138140.347976357,1336935.0687101353,18438140.34797635,
77,2006-12-29,3966.4,19.5484,,0.003009229991149276,6.0,24160777.56384206,122637.21586570087,18560777.56384205,
78,2007-01-31,4082.7,18.0752,,0.029321298910851112,6.0,24819202.944710057,758425.3808679981,19319202.94471005,
79,2007-02-28,3745.3,16.612,,-0.08264138927670406,3.0,22743109.532618754,-2026093.4120913036,17293109.532618746,
80,2007-03-30,3821.55,16.9475,,0.020358849758363773,3.0,23181133.08263135,488023.5500125961,17781133.082631342,
81,2007-04-30,4087.9,17.6634,,0.06969685075427501,3.0,24771785.055406492,1640651.972775144,19421785.055406485,
82,2007-05-31,4295.8,18.4704,,0.05085740844932607,6.0,25981613.84598821,1309828.7905817195,20731613.845988203,
83,2007-06-29,4318.3,18.5293,,0.00523767400716979,6.0,26067697.069493666,186083.2235054552,20917697.06949366,
84,2007-07-31,4528.85,17.6637,,0.048757612949540396,3.0,27313695.75369391,1295998.6842002405,22213695.7536939,
85,2007-08-31,4464.0,17.4099,,-0.014319308433708433,3.0,26897582.519732293,-366113.2339616154,21847582.519732285,
86,2007-09-28,5021.35,19.5488,,0.12485439068100357,6.0,30205863.79602548,3408281.276293188,25255863.796025474,
87,2007-10-31,5900.65,21.7765,,0.1751122706045185,6.0,35445281.19091833,5339417.3948928425,30595281.190918315,
88,2007-11-30,5762.75,21.3568,,-0.02337030666113049,6.0,34566914.09979656,-778367.0911217618,29816914.099796552,
89,2007-12-31,6138.6,22.5135,,0.06522059780486744,6.0,36771388.901654795,2304474.8018582333,32121388.901654787,
90,2008-01-31,5137.45,19.2543,,-0.1630909327859773,6.0,30724308.78584798,-5947080.115806814,26174308.785847973,
91,2008-02-29,5223.5,19.5352,,0.01674955474019213,6.0,31188927.27771111,564618.4918631268,26738927.2777111,
92,2008-03-31,4734.5,17.2038,,-0.0936153919785584,3.0,28244163.62521743,-2894763.6524936776,23844163.625217423,
93,2008-04-30,5165.9,18.686,,0.09111838631323255,6.0,30767726.237514142,2623562.6122967126,26467726.237514134,
94,2008-05-30,4870.1,17.6717,,-0.05726010956464489,3.0,28980962.86209908,-1736763.375415059,24730962.862099074,
95,2008-06-30,4040.55,14.1789,,-0.17033531138990987,3.0,24019481.52860402,-4911481.333495061,19819481.528604012,
96,2008-07-31,4332.95,15.2695,,0.0723663857643142,3.0,25732684.594761796,1763203.0661577778,21582684.59476179,
97,2008-08-29,4360.0,15.336500000000001,,0.0062428599453028255,3.0,25868330.140703544,185645.5459417495,21768330.140703537,
98,2008-09-30,3921.2,14.1474,,-0.10064220183486239,3.0,23239884.437552005,-2578445.7031515404,19189884.437551998,
99,2008-10-31,2885.6,10.4744,,-0.2641028256656126,3.0,17077165.289452225,-6112719.148099781,13077165.289452218,
100,2008-11-28,2755.1,10.0256,,-0.04522456334904357,3.0,16279857.945997305,-747307.3434549201,12329857.945997298,
101,2008-12-31,2959.15,11.3809,,0.07406264745381308,3.0,17460587.32564986,1230729.379652556,13560587.325649854,
102,2009-01-30,2874.8,11.165,,-0.02850480712366721,3.0,16937876.651666265,-472710.67398359755,13087876.651666256,
103,2009-02-27,2763.65,10.7534,,-0.03866355920411857,3.0,16257998.054952508,-629878.5967137562,12457998.054952499,
104,2009-03-31,3020.95,12.681799999999999,,0.09310151430173863,3.0,17746642.293383308,1538644.2384307997,13996642.293383298,
105,2009-04-29,3473.95,14.5666,,0.14995282940796772,3.0,20382801.51776724,2686159.224383932,16682801.51776723,
106,2009-05-29,4448.95,18.6547,,0.28066034341311763,6.0,26053445.59146521,5770644.073697968,22453445.591465198,
107,2009-06-30,4291.1,19.3844,,-0.03548028186426,6.0,25079061.99834486,-874383.5931203477,21579061.99834485,
108,2009-07-31,4636.45,20.9222,,0.08048052946796846,6.0,27047438.186531663,2068376.1881868017,23647438.18653165,
109,2009-08-31,4662.1,21.1231,,0.005532249889462992,6.0,27147071.37344936,199633.1869176969,23847071.373449348,
110,2009-09-30,5083.95,24.9609,,0.09048497458226956,9.0,29528473.436658982,2531402.063209623,26378473.43665897,
111,2009-10-30,4711.7,23.0041,,-0.07322062569458787,6.0,27316380.135820795,-2112093.3008381883,24266380.135820784,
112,2009-11-30,5032.7,24.5717,,0.06812827641827801,9.0,29102398.032460753,1936017.8966399578,26202398.03246074,
113,2009-12-31,5201.05,23.5181,,0.03345122896258479,6.0,30025909.012404874,1023510.9799441217,27225909.012404863,
114,2010-01-29,4882.05,22.0796,,-0.06133376914276922,6.0,28134306.84073624,-1791602.1716686343,25434306.84073623,
115,2010-02-26,4922.3,22.2589,,0.00824448745916162,6.0,28316259.780656897,281952.9399206549,25716259.780656885,
116,2010-03-31,5249.1,20.4396,,0.0663917274444874,6.0,30146225.18226157,1929965.4016046734,27646225.18226156,
117,2010-04-30,5278.0,20.8588,,0.005505705740031619,6.0,30262201.427287836,215976.24502626326,27862201.427287824,
118,2010-05-31,5086.3,20.0678,,-0.03632057597574834,6.0,29113060.841154628,-1049140.5861332077,26813060.841154616,
119,2010-06-30,5312.5,20.1119,,0.044472406267817455,6.0,30357788.710582145,1344727.869427516,28157788.710582133,
120,2010-07-30,5367.6,20.3552,3.0271598454439737,0.010371764705882525,6.0,30622652.5520792,364863.84149705485,28522652.55207919,34271598.45443974
121,2010-08-31,5402.4,20.452,2.8751882935227027,0.006483344511513334,6.0,30771189.758430704,248537.20635150248,28771189.758430693,32751882.935227025
122,2010-09-30,6029.95,20.8381,3.741831478787402,0.11616133570265075,6.0,34295612.26192974,3624422.5034990376,32395612.26192973,41418314.78787402
123,2010-10-29,6017.7,20.6564,4.13127264975485,-0.0020315259662185836,6.0,34175939.83509227,-19672.42683747472,32375939.835092258,45312726.4975485
124,2010-11-30,5862.7,20.1303,3.623033552813153,-0.025757349153331055,6.0,33245658.220116563,-830281.6149757069,31545658.220116552,40230335.52813153
125,2010-12-31,6134.5,19.9627,3.854972102409877,0.046360891739301024,6.0,34736956.58166119,1591298.3615446272,33136956.58166118,42549721.02409877
126,2011-01-31,5505.9,17.9149,3.013924327476853,-0.10246963892737804,3.0,31152473.183302358,-3534483.39835883,29602473.18330235,34139243.27476853
127,2011-02-28,5333.25,17.2906,2.9464629273346157,-0.03135727129079713,3.0,30150616.630314264,-951856.5529880945,28650616.630314257,33464629.273346156
128,2011-03-31,5833.75,18.0537,4.080778609998258,0.09384521633150511,6.0,32930107.770514384,2879491.1402001176,31530107.770514376,44807786.099982575
129,2011-04-29,5749.5,17.8024,4.109531215285492,-0.014441825583886847,3.0,32429536.89763402,-450570.8728803657,31079536.89763401,45095312.15285492
130,2011-05-31,5560.15,17.1863,3.760810000856237,-0.032933298547699885,3.0,31336525.27722059,-1043011.6204134303,30036525.27722058,41608100.00856237
131,2011-06-30,5647.4,16.5074,4.097391461323223,0.01569202269722947,3.0,31803258.74312304,516733.46590245044,30553258.743123032,44973914.61323223
132,2011-07-29,5482.0,16.0241,4.109754392505943,-0.029287813861245793,3.0,30846810.820873413,-906447.9222496254,29646810.820873406,45097543.92505943
133,2011-08-30,5001.0,14.6312,3.7459074733096083,-0.08774170010944915,3.0,28115259.19649543,-2681551.624377986,26965259.19649542,41459074.733096085
134,2011-09-30,4943.25,14.8083,4.409257536794879,-0.011547690461907623,3.0,27765592.886037998,-299666.31045743084,26665592.88603799,48092575.36794879
135,2011-10-31,5326.6,15.9898,4.480605000514457,0.07755019470995816,3.0,29893820.020587675,2178227.134549676,28843820.020587668,48806050.00514457
136,2011-11-30,4832.05,14.5114,3.5279951272079835,-0.09284534224458385,3.0,27093318.06977822,-2750501.9508094555,26093318.06977821,39279951.27207983
137,2011-12-30,4624.3,13.8885,3.366460507058213,-0.04299417431524921,3.0,25903463.229907684,-1139854.839870536,24953463.229907677,37664605.07058213
138,2012-01-31,5199.25,15.5019,3.8121153223194035,0.12433233137988453,3.0,29099101.204095222,3245637.974187536,28199101.204095215,42121153.22319403
